Eval num 0/2416, Acc 98.53, precision 97.46, recall 96.03, F1 96.74, IoU 93.69
Eval num 1/2416, Acc 100.00, precision 100.00, recall 100.00, F1 100.00, IoU 100.00
Eval num 2/2416, Acc 99.74, precision 92.88, recall 88.71, F1 90.75, IoU 83.06
Eval num 3/2416, Acc 97.88, precision 94.57, recall 97.78, F1 96.15, IoU 92.58
Eval num 4/2416, Acc 99.58, precision 95.99, recall 92.37, F1 94.14, IoU 88.93
Eval num 5/2416, Acc 99.83, precision 100.00, recall 100.00, F1 100.00, IoU 100.00
Eval num 6/2416, Acc 97.47, precision 94.90, recall 96.08, F1 95.49, IoU 91.36
Eval num 7/2416, Acc 100.00, precision 100.00, recall 100.00, F1 100.00, IoU 100.00
Eval num 8/2416, Acc 100.00, precision 100.00, recall 100.00, F1 100.00, IoU 100.00
Eval num 9/2416, Acc 97.88, precision 91.51, recall 97.47, F1 94.40, IoU 89.39
Eval num 10/2416, Acc 100.00, precision 100.00, recall 100.00, F1 100.00, IoU 100.00
Eval num 11/2416, Acc 99.15, precision 99.58, recall 95.05, F1 97.26, IoU 94.67
Eval num 12/2416, Acc 100.00, precision 100.00, recall 100.00, F1 100.00, IoU 100.00
Eval num 13/2416, Acc 97.90, precision 96.18, recall 96.62, F1 96.40, IoU 93.06
Eval num 14/2416, Acc 100.00, precision 100.00, recall 100.00, F1 100.00, IoU 100.00
Eval num 15/2416, Acc 98.23, precision 96.81, recall 96.11, F1 96.46, IoU 93.16
Eval num 16/2416, Acc 100.00, precision 100.00, recall 100.00, F1 100.00, IoU 100.00
Eval num 17/2416, Acc 97.78, precision 96.29, recall 97.05, F1 96.67, IoU 93.55
Eval num 18/2416, Acc 96.86, precision 93.54, recall 95.39, F1 94.46, IoU 89.50
Eval num 19/2416, Acc 97.98, precision 93.90, recall 96.67, F1 95.26, IoU 90.95
Eval num 20/2416, Acc 98.00, precision 81.38, recall 65.05, F1 72.30, IoU 56.62
Eval num 21/2416, Acc 99.85, precision 93.77, recall 98.25, F1 95.96, IoU 92.23
Eval num 22/2416, Acc 100.00, precision 100.00, recall 100.00, F1 100.00, IoU 100.00
